family,inference_role,scope_dataset,scope_weighting,metric,budget_per_class,regime,method_left,method_right,contrast,n_pairs,mean_difference,median_difference,ci_lower,ci_upper,wilcoxon_statistic,p_value,rank_biserial,p_holm
H2_regime_low_budget_confirmatory,confirmatory,ALL,participant_weighted_across_datasets,roc_auc,5.0,source_plus_target_vs_subject,logvar_lda,logvar_lda,source_plus_target - subject,65,0.058755542022792,0.06364,0.0308267972637701,0.0850973013948243,456.0,5.606516327124315e-05,0.5748251748251748,0.0003363909796274
H2_regime_low_budget_dataset_supportive,supportive,Lee2019_MI,within_dataset,roc_auc,5.0,source_plus_target_vs_subject,logvar_lda,logvar_lda,source_plus_target - subject,54,0.0636881481481481,0.0673099999999999,0.0351798796296296,0.0912043703703703,302.0,0.0001489575091953,0.5932659932659933,0.0026812351655163
H2_regime_low_budget_dataset_supportive,supportive,BNCI2014_001,within_dataset,roc_auc,5.0,source_plus_target_vs_subject,logvar_lda,logvar_lda,source_plus_target - subject,9,0.0207722479423868,0.0564043209876543,-0.0823885727451988,0.0921133937757201,9.0,0.12890625,0.6,1.0
H2_regime_low_budget_confirmatory,confirmatory,ALL,participant_weighted_across_datasets,roc_auc,5.0,source_plus_target_vs_subject,csp_lda,csp_lda,source_plus_target - subject,65,0.0570084423076923,0.0613199999999999,0.0281103645833333,0.0834004466583571,463.0,6.803832905768777e-05,0.5682983682983683,0.0003401916452884
H2_regime_low_budget_dataset_supportive,supportive,Lee2019_MI,within_dataset,roc_auc,5.0,source_plus_target_vs_subject,csp_lda,csp_lda,source_plus_target - subject,54,0.0566937037037037,0.0613699999999999,0.0243718425925925,0.0865037222222222,330.0,0.0003827292784769,0.5555555555555556,0.0065063977341076
H2_regime_low_budget_dataset_supportive,supportive,BNCI2014_001,within_dataset,roc_auc,5.0,source_plus_target_vs_subject,csp_lda,csp_lda,source_plus_target - subject,9,0.035329861111111,0.0415605709876543,-0.0512176622513717,0.1151645018861454,11.0,0.203125,0.5111111111111111,1.0
H2_regime_low_budget_confirmatory,confirmatory,ALL,participant_weighted_across_datasets,roc_auc,5.0,source_plus_target_vs_subject,riemann_lr,riemann_lr,source_plus_target - subject,65,0.0350851685660019,0.0475999999999999,0.0104524510090218,0.0602643785018993,630.0,0.0038314311745446,0.4125874125874126,0.0153257246981785
H2_regime_low_budget_dataset_supportive,supportive,Lee2019_MI,within_dataset,roc_auc,5.0,source_plus_target_vs_subject,riemann_lr,riemann_lr,source_plus_target - subject,54,0.0485081481481481,0.0528599999999999,0.0229966851851851,0.0736758148148148,346.0,0.0006402427027768,0.534006734006734,0.0102438832444299
H2_regime_low_budget_dataset_supportive,supportive,BNCI2014_001,within_dataset,roc_auc,5.0,source_plus_target_vs_subject,riemann_lr,riemann_lr,source_plus_target - subject,9,-0.0530071159122085,-0.0351273148148149,-0.1317980002572016,0.0212155992798353,14.0,0.359375,-0.3777777777777777,1.0
H2_regime_low_budget_confirmatory,confirmatory,ALL,participant_weighted_across_datasets,roc_auc,10.0,source_plus_target_vs_subject,logvar_lda,logvar_lda,source_plus_target - subject,65,0.0314293162393162,0.04152,0.0044711660018993,0.0579194947530864,647.0,0.0054256007005527,0.3967365967365967,0.0162768021016583
H2_regime_low_budget_dataset_supportive,supportive,Lee2019_MI,within_dataset,roc_auc,10.0,source_plus_target_vs_subject,logvar_lda,logvar_lda,source_plus_target - subject,54,0.0352055555555555,0.04042,0.0073055833333333,0.063592574074074,452.0,0.0123749378104613,0.3912457912457912,0.1856240671569203
H2_regime_low_budget_dataset_supportive,supportive,BNCI2014_001,within_dataset,roc_auc,10.0,source_plus_target_vs_subject,logvar_lda,logvar_lda,source_plus_target - subject,9,-0.001466049382716,0.046604938271605,-0.0910112847222221,0.0634004736796982,13.0,0.30078125,0.4222222222222222,1.0
H2_regime_low_budget_confirmatory,confirmatory,ALL,participant_weighted_across_datasets,roc_auc,10.0,source_plus_target_vs_subject,csp_lda,csp_lda,source_plus_target - subject,65,0.0209215071225071,0.02,-0.011447650759734,0.0504376300332383,793.0,0.0677727897183564,0.2606060606060606,0.1355455794367129
H2_regime_low_budget_dataset_supportive,supportive,Lee2019_MI,within_dataset,roc_auc,10.0,source_plus_target_vs_subject,csp_lda,csp_lda,source_plus_target - subject,54,0.0238385185185185,0.01551,-0.0123706666666666,0.0556545277777777,548.0,0.0939955808017024,0.2619528619528619,1.0
H2_regime_low_budget_dataset_supportive,supportive,BNCI2014_001,within_dataset,roc_auc,10.0,source_plus_target_vs_subject,csp_lda,csp_lda,source_plus_target - subject,9,-0.0114068930041152,0.0090470679012345,-0.086051901148834,0.0531758509087791,21.0,0.91015625,0.0666666666666666,1.0
H2_regime_low_budget_confirmatory,confirmatory,ALL,participant_weighted_across_datasets,roc_auc,10.0,source_plus_target_vs_subject,riemann_lr,riemann_lr,source_plus_target - subject,65,0.0081683746438746,0.0138399999999999,-0.0163599420584045,0.0310936806980056,964.0,0.4782993216289299,0.1011655011655011,0.4782993216289299
H2_regime_low_budget_dataset_supportive,supportive,Lee2019_MI,within_dataset,roc_auc,10.0,source_plus_target_vs_subject,riemann_lr,riemann_lr,source_plus_target - subject,54,0.0197385185185185,0.01938,-0.0051826111111111,0.0454206851851851,571.0,0.1397688414247252,0.2309764309764309,1.0
H2_regime_low_budget_dataset_supportive,supportive,BNCI2014_001,within_dataset,roc_auc,10.0,source_plus_target_vs_subject,riemann_lr,riemann_lr,source_plus_target - subject,9,-0.0683706275720164,-0.0711419753086419,-0.1318249528463649,-0.008804012345679,7.0,0.07421875,-0.6888888888888889,1.0
