target_subject,budget_per_class,roc_auc,dataset,regime,method,figure_panel,participant_order_rank
40,5,0.51456,Lee2019_MI,subject,riemann_lr,A,0
27,5,0.50096,Lee2019_MI,subject,riemann_lr,A,1
35,5,0.59444,Lee2019_MI,subject,riemann_lr,A,2
11,5,0.4850799999999999,Lee2019_MI,subject,riemann_lr,A,3
50,5,0.54852,Lee2019_MI,subject,riemann_lr,A,4
52,5,0.5751999999999999,Lee2019_MI,subject,riemann_lr,A,5
34,5,0.51268,Lee2019_MI,subject,riemann_lr,A,6
4,5,0.64988,Lee2019_MI,subject,riemann_lr,A,7
38,5,0.51632,Lee2019_MI,subject,riemann_lr,A,8
17,5,0.60616,Lee2019_MI,subject,riemann_lr,A,9
54,5,0.50976,Lee2019_MI,subject,riemann_lr,A,10
51,5,0.5568,Lee2019_MI,subject,riemann_lr,A,11
30,5,0.59932,Lee2019_MI,subject,riemann_lr,A,12
25,5,0.6426000000000001,Lee2019_MI,subject,riemann_lr,A,13
12,5,0.6253599999999999,Lee2019_MI,subject,riemann_lr,A,14
48,5,0.52776,Lee2019_MI,subject,riemann_lr,A,15
26,5,0.4546,Lee2019_MI,subject,riemann_lr,A,16
24,5,0.59412,Lee2019_MI,subject,riemann_lr,A,17
53,5,0.60004,Lee2019_MI,subject,riemann_lr,A,18
10,5,0.59932,Lee2019_MI,subject,riemann_lr,A,19
16,5,0.55128,Lee2019_MI,subject,riemann_lr,A,20
46,5,0.5472,Lee2019_MI,subject,riemann_lr,A,21
41,5,0.57504,Lee2019_MI,subject,riemann_lr,A,22
14,5,0.5791999999999999,Lee2019_MI,subject,riemann_lr,A,23
8,5,0.5014000000000001,Lee2019_MI,subject,riemann_lr,A,24
42,5,0.59996,Lee2019_MI,subject,riemann_lr,A,25
13,5,0.56124,Lee2019_MI,subject,riemann_lr,A,26
2,5,0.67012,Lee2019_MI,subject,riemann_lr,A,27
31,5,0.64948,Lee2019_MI,subject,riemann_lr,A,28
7,5,0.6059599999999999,Lee2019_MI,subject,riemann_lr,A,29
20,5,0.56016,Lee2019_MI,subject,riemann_lr,A,30
15,5,0.42196,Lee2019_MI,subject,riemann_lr,A,31
22,5,0.60092,Lee2019_MI,subject,riemann_lr,A,32
6,5,0.63452,Lee2019_MI,subject,riemann_lr,A,33
43,5,0.63684,Lee2019_MI,subject,riemann_lr,A,34
9,5,0.61356,Lee2019_MI,subject,riemann_lr,A,35
45,5,0.83496,Lee2019_MI,subject,riemann_lr,A,36
49,5,0.6674399999999999,Lee2019_MI,subject,riemann_lr,A,37
47,5,0.5374399999999999,Lee2019_MI,subject,riemann_lr,A,38
1,5,0.63788,Lee2019_MI,subject,riemann_lr,A,39
18,5,0.82104,Lee2019_MI,subject,riemann_lr,A,40
19,5,0.6533599999999999,Lee2019_MI,subject,riemann_lr,A,41
23,5,0.7437199999999999,Lee2019_MI,subject,riemann_lr,A,42
5,5,0.76448,Lee2019_MI,subject,riemann_lr,A,43
39,5,0.5902000000000001,Lee2019_MI,subject,riemann_lr,A,44
29,5,0.96124,Lee2019_MI,subject,riemann_lr,A,45
3,5,0.92684,Lee2019_MI,subject,riemann_lr,A,46
28,5,0.73024,Lee2019_MI,subject,riemann_lr,A,47
32,5,0.97788,Lee2019_MI,subject,riemann_lr,A,48
44,5,0.85592,Lee2019_MI,subject,riemann_lr,A,49
33,5,0.84916,Lee2019_MI,subject,riemann_lr,A,50
37,5,0.96196,Lee2019_MI,subject,riemann_lr,A,51
21,5,0.94172,Lee2019_MI,subject,riemann_lr,A,52
36,5,0.99828,Lee2019_MI,subject,riemann_lr,A,53
40,10,0.56508,Lee2019_MI,subject,riemann_lr,A,0
27,10,0.5076400000000001,Lee2019_MI,subject,riemann_lr,A,1
35,10,0.6239600000000001,Lee2019_MI,subject,riemann_lr,A,2
11,10,0.4873999999999999,Lee2019_MI,subject,riemann_lr,A,3
50,10,0.55748,Lee2019_MI,subject,riemann_lr,A,4
52,10,0.59912,Lee2019_MI,subject,riemann_lr,A,5
34,10,0.53,Lee2019_MI,subject,riemann_lr,A,6
