dataset,method,regime,budget_per_class,metric,mean,ci_lower,ci_upper,n_subjects,sd,median,ci_level,bootstrap_resamples,figure_panel
Zhou2016,logvar_lda,subject,5,roc_auc,0.73878,0.6199600000000001,0.8576,2,0.1680368554811711,0.73878,0.95,2000,A
Zhou2016,logvar_lda,subject,10,roc_auc,0.77872,0.67792,0.87952,2,0.1425527270872079,0.77872,0.95,2000,A
Zhou2016,logvar_lda,subject,20,roc_auc,0.86378,0.7994399999999999,0.92812,2,0.090990500603085,0.86378,0.95,2000,A
Zhou2016,logvar_lda,subject,40,roc_auc,0.8969199999999999,0.8504799999999999,0.94336,2,0.0656760778366065,0.8969199999999999,0.95,2000,A
Zhou2016,csp_lda,subject,5,roc_auc,0.76034,0.7130799999999999,0.8076000000000001,2,0.0668357329577525,0.76034,0.95,2000,A
Zhou2016,csp_lda,subject,10,roc_auc,0.8237599999999999,0.76296,0.8845599999999999,2,0.0859841845922841,0.8237599999999999,0.95,2000,A
Zhou2016,csp_lda,subject,20,roc_auc,0.8901800000000001,0.83108,0.94928,2,0.0835800215362499,0.8901800000000001,0.95,2000,A
Zhou2016,csp_lda,subject,40,roc_auc,0.8538399999999999,0.7323999999999999,0.97528,2,0.1717420950145887,0.8538399999999999,0.95,2000,A
Zhou2016,riemann_lr,subject,5,roc_auc,0.81026,0.77432,0.8462,2,0.050826835431689,0.81026,0.95,2000,A
Zhou2016,riemann_lr,subject,10,roc_auc,0.8570800000000001,0.8263999999999999,0.8877600000000001,2,0.0433880720936066,0.8570800000000001,0.95,2000,A
Zhou2016,riemann_lr,subject,20,roc_auc,0.90648,0.8834799999999999,0.92948,2,0.0325269119345812,0.90648,0.95,2000,A
Zhou2016,riemann_lr,subject,40,roc_auc,0.91852,0.89704,0.94,2,0.0303773073197741,0.91852,0.95,2000,A
Zhou2016,logvar_lda,source_plus_target,0,roc_auc,0.7696000000000001,0.7148,0.8244,2,0.0774989032180456,0.7696000000000001,0.95,2000,B
Zhou2016,logvar_lda,source_plus_target,5,roc_auc,0.83528,0.80976,0.8608,2,0.0360907301117613,0.83528,0.95,2000,B
Zhou2016,logvar_lda,source_plus_target,10,roc_auc,0.85622,0.81884,0.8936,2,0.0528633029615062,0.85622,0.95,2000,B
Zhou2016,logvar_lda,source_plus_target,20,roc_auc,0.8923399999999999,0.8564399999999999,0.92824,2,0.0507702668891941,0.8923399999999999,0.95,2000,B
Zhou2016,logvar_lda,source_plus_target,40,roc_auc,0.90676,0.8688,0.94472,2,0.0536835468276826,0.90676,0.95,2000,B
Zhou2016,csp_lda,source_plus_target,0,roc_auc,0.9388,0.9336,0.9440000000000002,2,0.0073539105243402,0.9388,0.95,2000,B
Zhou2016,csp_lda,source_plus_target,5,roc_auc,0.9234,0.90468,0.94212,2,0.0264740778876244,0.9234,0.95,2000,B
Zhou2016,csp_lda,source_plus_target,10,roc_auc,0.9114,0.88512,0.93768,2,0.0371655324191649,0.9114,0.95,2000,B
Zhou2016,csp_lda,source_plus_target,20,roc_auc,0.93754,0.9104,0.96468,2,0.0383817560828059,0.93754,0.95,2000,B
Zhou2016,csp_lda,source_plus_target,40,roc_auc,0.9341,0.8877599999999999,0.98044,2,0.0655346564803693,0.9341,0.95,2000,B
Zhou2016,riemann_lr,source_plus_target,0,roc_auc,0.8612,0.8455999999999999,0.8768,2,0.0220617315730203,0.8612,0.95,2000,B
Zhou2016,riemann_lr,source_plus_target,5,roc_auc,0.87934,0.8672000000000001,0.8914799999999999,2,0.0171685526472092,0.87934,0.95,2000,B
Zhou2016,riemann_lr,source_plus_target,10,roc_auc,0.8972799999999999,0.8846399999999999,0.90992,2,0.0178756594283959,0.8972799999999999,0.95,2000,B
Zhou2016,riemann_lr,source_plus_target,20,roc_auc,0.91572,0.89648,0.93496,2,0.0272094689400583,0.91572,0.95,2000,B
Zhou2016,riemann_lr,source_plus_target,40,roc_auc,0.9272,0.90528,0.94912,2,0.0309995612872182,0.9272,0.95,2000,B
