classification,scope_dataset,metric,budget_per_class,method,contrast,n_pairs,mean_difference,median_difference,ci_lower,ci_upper
post_confirmatory_exploratory_robustness,ALL,roc_auc,5,csp_lda,EA source_plus_target - EA subject,65,0.11335797079772081,0.12284000000000006,0.08849286133665717,0.13776333261514717
post_confirmatory_exploratory_robustness,ALL,roc_auc,10,csp_lda,EA source_plus_target - EA subject,65,0.07713139553656222,0.06033999999999995,0.052831764227207964,0.10109440658831907
post_confirmatory_exploratory_robustness,ALL,roc_auc,20,csp_lda,EA source_plus_target - EA subject,65,0.047713073124406466,0.03176000000000001,0.026047774632003824,0.07105064650997153
post_confirmatory_exploratory_robustness,ALL,roc_auc,40,csp_lda,EA source_plus_target - EA subject,65,0.030497075023741688,0.014559999999999906,0.007514116607312436,0.054128268696581196
post_confirmatory_exploratory_robustness,ALL,roc_auc,5,logvar_lda,EA source_plus_target - EA subject,65,0.11586741737891737,0.11024000000000012,0.09073323275759733,0.13916249671177586
post_confirmatory_exploratory_robustness,ALL,roc_auc,10,logvar_lda,EA source_plus_target - EA subject,65,0.06616187464387463,0.06752000000000002,0.043526183618233606,0.08677303742877492
post_confirmatory_exploratory_robustness,ALL,roc_auc,20,logvar_lda,EA source_plus_target - EA subject,65,0.042477063152896476,0.03955999999999993,0.021371584817188982,0.063038121236942
post_confirmatory_exploratory_robustness,ALL,roc_auc,40,logvar_lda,EA source_plus_target - EA subject,65,0.036281293922127256,0.02532000000000001,0.017145516761633433,0.05719890264719846
post_confirmatory_exploratory_robustness,ALL,roc_auc,5,riemann_lr,EA source_plus_target - EA subject,65,0.05430716809116809,0.05284,0.03210914348290597,0.07819011619183283
post_confirmatory_exploratory_robustness,ALL,roc_auc,10,riemann_lr,EA source_plus_target - EA subject,65,0.028989022317188987,0.018360000000000043,0.007165781196581184,0.05263027513057928
post_confirmatory_exploratory_robustness,ALL,roc_auc,20,riemann_lr,EA source_plus_target - EA subject,65,0.002074248338081677,-0.007360000000000033,-0.019524300225546045,0.024207810078347557
post_confirmatory_exploratory_robustness,ALL,roc_auc,40,riemann_lr,EA source_plus_target - EA subject,65,-0.016299794396961064,-0.015839999999999965,-0.03731829292497625,0.005294127789648614
post_confirmatory_exploratory_robustness,BNCI2014_001,roc_auc,5,csp_lda,EA source_plus_target - EA subject,9,0.06383423353909462,0.1234567901234569,-0.014906576860425281,0.13032407407407404
post_confirmatory_exploratory_robustness,BNCI2014_001,roc_auc,10,csp_lda,EA source_plus_target - EA subject,9,0.019442301097393658,0.029398148148148118,-0.04157455632716051,0.07155856159979415
post_confirmatory_exploratory_robustness,BNCI2014_001,roc_auc,20,csp_lda,EA source_plus_target - EA subject,9,-0.004981138545953328,0.008584104938271664,-0.04849253043552809,0.028608592678326522
post_confirmatory_exploratory_robustness,BNCI2014_001,roc_auc,40,csp_lda,EA source_plus_target - EA subject,9,-0.004921124828532266,-0.01305941358024687,-0.03165793252743487,0.024285300925925905
