source,method,budget_per_class,mean_difference,ci_lower,ci_upper
ea_sensitivity,csp_lda,5.0,0.1133579707977208,0.0884928613366571,0.1377633326151471
primary_unaligned,csp_lda,5.0,0.0570084423076923,0.0281103645833333,0.0834004466583571
ea_sensitivity,csp_lda,10.0,0.0771313955365622,0.0528317642272079,0.101094406588319
primary_unaligned,csp_lda,10.0,0.0209215071225071,-0.011447650759734,0.0504376300332383
ea_sensitivity,csp_lda,20.0,0.0477130731244064,0.0260477746320038,0.0710506465099715
ea_sensitivity,csp_lda,40.0,0.0304970750237416,0.0075141166073124,0.0541282686965811
ea_sensitivity,logvar_lda,5.0,0.1158674173789173,0.0907332327575973,0.1391624967117758
primary_unaligned,logvar_lda,5.0,0.058755542022792,0.0308267972637701,0.0850973013948243
ea_sensitivity,logvar_lda,10.0,0.0661618746438746,0.0435261836182336,0.0867730374287749
primary_unaligned,logvar_lda,10.0,0.0314293162393162,0.0044711660018993,0.0579194947530864
ea_sensitivity,logvar_lda,20.0,0.0424770631528964,0.0213715848171889,0.063038121236942
ea_sensitivity,logvar_lda,40.0,0.0362812939221272,0.0171455167616334,0.0571989026471984
ea_sensitivity,riemann_lr,5.0,0.054307168091168,0.0321091434829059,0.0781901161918328
primary_unaligned,riemann_lr,5.0,0.0350851685660019,0.0104524510090218,0.0602643785018993
ea_sensitivity,riemann_lr,10.0,0.0289890223171889,0.0071657811965811,0.0526302751305792
primary_unaligned,riemann_lr,10.0,0.0081683746438746,-0.0163599420584045,0.0310936806980056
ea_sensitivity,riemann_lr,20.0,0.0020742483380816,-0.019524300225546,0.0242078100783475
ea_sensitivity,riemann_lr,40.0,-0.016299794396961,-0.0373182929249762,0.0052941277896486
