classification,method,budget_per_class,scope_dataset,metric,contrast,n_total,n_positive,n_zero,n_negative,fraction_positive
descriptive_exploratory_summary,csp_lda,5,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,46,0,19,0.7076923076923077
descriptive_exploratory_summary,csp_lda,5,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,7,0,2,0.7777777777777778
descriptive_exploratory_summary,csp_lda,5,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,37,0,17,0.6851851851851852
descriptive_exploratory_summary,csp_lda,5,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
descriptive_exploratory_summary,csp_lda,10,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,41,0,24,0.6307692307692307
descriptive_exploratory_summary,csp_lda,10,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,5,0,4,0.5555555555555556
descriptive_exploratory_summary,csp_lda,10,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,34,0,20,0.6296296296296297
descriptive_exploratory_summary,csp_lda,10,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
descriptive_exploratory_summary,csp_lda,20,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,33,0,32,0.5076923076923077
descriptive_exploratory_summary,csp_lda,20,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,3,0,6,0.3333333333333333
descriptive_exploratory_summary,csp_lda,20,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,28,0,26,0.5185185185185185
descriptive_exploratory_summary,csp_lda,20,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
descriptive_exploratory_summary,csp_lda,40,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,24,0,41,0.36923076923076925
descriptive_exploratory_summary,csp_lda,40,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,2,0,7,0.2222222222222222
descriptive_exploratory_summary,csp_lda,40,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,20,0,34,0.37037037037037035
descriptive_exploratory_summary,csp_lda,40,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
descriptive_exploratory_summary,logvar_lda,5,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,47,0,18,0.7230769230769231
descriptive_exploratory_summary,logvar_lda,5,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,8,0,1,0.8888888888888888
descriptive_exploratory_summary,logvar_lda,5,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,37,0,17,0.6851851851851852
descriptive_exploratory_summary,logvar_lda,5,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
descriptive_exploratory_summary,logvar_lda,10,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,44,0,21,0.676923076923077
descriptive_exploratory_summary,logvar_lda,10,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,6,0,3,0.6666666666666666
descriptive_exploratory_summary,logvar_lda,10,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,36,0,18,0.6666666666666666
descriptive_exploratory_summary,logvar_lda,10,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
descriptive_exploratory_summary,logvar_lda,20,ALL,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),65,41,0,24,0.6307692307692307
descriptive_exploratory_summary,logvar_lda,20,BNCI2014_001,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),9,6,0,3,0.6666666666666666
descriptive_exploratory_summary,logvar_lda,20,Lee2019_MI,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),54,33,0,21,0.6111111111111112
descriptive_exploratory_summary,logvar_lda,20,Zhou2016,roc_auc,ROC-AUC(source_plus_target) - ROC-AUC(subject),2,2,0,0,1.0
