term,primary_estimate,primary_standard_error,primary_ci_lower,primary_ci_upper,primary_p_value,random_intercept_only_estimate,random_intercept_only_standard_error,random_intercept_only_ci_lower,random_intercept_only_ci_upper,random_intercept_only_p_value,is_regime_by_budget_interaction_of_interest
log2_budget:C(regime)[T.subject],0.0273582755395752,0.0056928513140577,0.0162004919946804,0.03851605908447,1.5419203764575954e-06,0.027358275539566587,0.005746020444119794,0.016096282414660944,0.038620268664472227,1.92391607687459e-06,True
C(dataset)[T.Lee2019_MI],-0.0509295720604966,0.0435599422309199,-0.136305490001745,0.0344463458807517,0.242329648861672,-0.0559265042009602,0.04810893148590103,-0.15021827724803125,0.038365268846110835,0.24503351030001697,False
C(dataset)[T.Zhou2016],0.1228931300100131,0.094665278523957,-0.0626474064833956,0.3084336665034219,0.1942234613245845,0.1416476778978104,0.10445606494571158,-0.06308244736256113,0.34637780315818195,0.17508316542435287,False
C(method)[T.logvar_lda],-0.0213207798013415,0.0232372808261173,-0.0668650133191746,0.0242234537164914,0.3588677404583978,-0.021320779801323006,0.023454308452237806,-0.06729037965000248,0.024648820047356475,0.363331819539347,False
C(method)[T.logvar_lda]:C(regime)[T.subject],0.0095980360998321,0.0328624776969693,-0.0548112366289786,0.0740073088286429,0.7702356107742947,0.009598036099797556,0.03316940110923574,-0.05541279546306741,0.07460886766266253,0.77230271370212,False
C(method)[T.riemann_lr],0.0189206711532813,0.0232372808261173,-0.0266235623645517,0.0644649046711144,0.4155087658647937,0.01892067115330047,0.023454308452237855,-0.0270489286953791,0.06489027100198004,0.41983736563071783,False
C(method)[T.riemann_lr]:C(regime)[T.subject],0.0255372610635766,0.0328624776969694,-0.0388720116652341,0.0899465337923874,0.4371028321659989,0.025537261063539738,0.0331694011092358,-0.03947357049932536,0.09054809262640483,0.44135672523268066,False
C(regime)[T.subject],-0.1215769002734592,0.0232372808261185,-0.1671211337912947,-0.0760326667556237,1.677073463012965e-07,-0.1215769002734243,0.023454308452236318,-0.16754650012210087,-0.07560730042474774,2.1768591361158525e-07,False
Group Var,2.6017010247536736,0.5829717884645598,1.4590973153602336,3.7443047341471134,8.088614202169782e-06,3.8452219148875764,0.6965083009299095,2.480090730131768,5.210353099643385,3.3762827352639004e-08,False
Group x log2_budget Cov,0.1340111811134012,0.0530110216307301,0.0301114879334963,0.2379108742933062,0.0114718552942027,,,,,,False
Intercept,0.68240841117452,0.0430264156369192,0.5980781861423073,0.7667386362067327,1.1947492720635342e-56,0.685982645633141,0.04749672147724186,0.5928907821540169,0.7790745091122652,2.7855791701861935e-47,False
log2_budget,0.0128204968661047,0.0041677568739539,0.0046518434968357,0.0209891502353737,0.0020971737626206,0.012820496866109383,0.004063050020873814,0.004857065157811992,0.020783928574406772,0.0016028511889557377,False
log2_budget Var,0.0168078226159223,0.0099976965684169,-0.0027873025865345,0.0364029478183791,0.0927299944851617,,,,,,False
log2_budget:C(method)[T.logvar_lda],-0.0006935914028273,0.0056928513140574,-0.0118513749477214,0.0104641921420668,0.903029296133156,-0.0006935914028319138,0.005746020444120148,-0.01195558452773825,0.010568401722074423,0.9039222165098237,False
log2_budget:C(method)[T.logvar_lda]:C(regime)[T.subject],-0.0049915004831055,0.008050907536914,-0.0207709892983191,0.010787988332108,0.5352628725577957,-0.004991500483096969,0.008126100041747592,-0.020918363899691678,0.010935362933497741,0.5390465979718886,False
log2_budget:C(method)[T.riemann_lr],0.0006234819284131,0.0056928513140574,-0.0105343016164809,0.0117812654733073,0.9127899407103144,0.0006234819284084467,0.00574602044412016,-0.010638511196497913,0.011885475053314805,0.9135937368152579,False
log2_budget:C(method)[T.riemann_lr]:C(regime)[T.subject],-0.0025646546701127,0.008050907536914,-0.0183441434853263,0.0132148341451008,0.7500641870769874,-0.00256465467010361,0.008126100041747606,-0.01849151808669835,0.013362208746491126,0.7523007664556902,False
