term,estimate,standard_error,z_value,p_value,ci_lower,ci_upper,classification
Intercept,0.685982645633141,0.04749672147724186,14.442736767880511,2.7855791701861935e-47,0.5928907821540169,0.7790745091122652,model_form_robustness_random_intercept_only
C(method)[T.logvar_lda],-0.021320779801323006,0.023454308452237806,-0.9090346809730288,0.363331819539347,-0.06729037965000248,0.024648820047356475,model_form_robustness_random_intercept_only
C(method)[T.riemann_lr],0.01892067115330047,0.023454308452237855,0.8067034332660183,0.41983736563071783,-0.0270489286953791,0.06489027100198004,model_form_robustness_random_intercept_only
C(regime)[T.subject],-0.1215769002734243,0.023454308452236318,-5.1835636305802995,2.1768591361158525e-07,-0.16754650012210087,-0.07560730042474774,model_form_robustness_random_intercept_only
C(dataset)[T.Lee2019_MI],-0.0559265042009602,0.04810893148590103,-1.1624973258312798,0.24503351030001697,-0.15021827724803125,0.038365268846110835,model_form_robustness_random_intercept_only
C(dataset)[T.Zhou2016],0.1416476778978104,0.10445606494571158,1.3560502970452528,0.17508316542435287,-0.06308244736256113,0.34637780315818195,model_form_robustness_random_intercept_only
C(method)[T.logvar_lda]:C(regime)[T.subject],0.009598036099797556,0.03316940110923574,0.28936416633476886,0.77230271370212,-0.05541279546306741,0.07460886766266253,model_form_robustness_random_intercept_only
C(method)[T.riemann_lr]:C(regime)[T.subject],0.025537261063539738,0.0331694011092358,0.7699041951176216,0.44135672523268066,-0.03947357049932536,0.09054809262640483,model_form_robustness_random_intercept_only
log2_budget,0.012820496866109383,0.004063050020873814,3.155387406072879,0.0016028511889557377,0.004857065157811992,0.020783928574406772,model_form_robustness_random_intercept_only
log2_budget:C(method)[T.logvar_lda],-0.0006935914028319138,0.005746020444120148,-0.12070813349466233,0.9039222165098237,-0.01195558452773825,0.010568401722074423,model_form_robustness_random_intercept_only
log2_budget:C(method)[T.riemann_lr],0.0006234819284084467,0.00574602044412016,0.1085067368749878,0.9135937368152579,-0.010638511196497913,0.011885475053314805,model_form_robustness_random_intercept_only
log2_budget:C(regime)[T.subject],0.027358275539566587,0.005746020444119794,4.761256212995858,1.92391607687459e-06,0.016096282414660944,0.038620268664472227,model_form_robustness_random_intercept_only
log2_budget:C(method)[T.logvar_lda]:C(regime)[T.subject],-0.004991500483096969,0.008126100041747592,-0.6142553571151336,0.5390465979718886,-0.020918363899691678,0.010935362933497741,model_form_robustness_random_intercept_only
log2_budget:C(method)[T.riemann_lr]:C(regime)[T.subject],-0.00256465467010361,0.008126100041747606,-0.3156070755870307,0.7523007664556902,-0.01849151808669835,0.013362208746491126,model_form_robustness_random_intercept_only
Group Var,3.8452219148875764,0.6965083009299095,5.5207122582082855,3.3762827352639004e-08,2.480090730131768,5.210353099643385,model_form_robustness_random_intercept_only
