comparison,contrast,metric,method,method_label,budget_per_class,regime,source,n_pairs,mean_difference,ci_lower,ci_upper,p_value,p_holm,rank_biserial,sign,diff_from_primary_mean
H2,source_plus_target - subject,roc_auc,csp_lda,CSP + LDA,5.0,,all_source,65,0.13170998076923077,0.10255937072649574,0.1598217540657645,2.6839318783487334e-10,1.61035912700924e-09,0.9011655011655012,+,0.07470153846153846
H2,source_plus_target - subject,roc_auc,csp_lda,CSP + LDA,5.0,,primary,65,0.05700844230769231,0.02811036458333334,0.08340044665835711,6.803832905768777e-05,0.00034019164528843884,0.5682983682983683,+,0.0
H2,source_plus_target - subject,roc_auc,csp_lda,CSP + LDA,5.0,,three_channel,65,0.06265078323836658,0.03836642721984807,0.08246995312796772,4.459036208217807e-07,1.3377108624653423e-06,0.7202797202797203,+,0.0056423409306742695
H2,source_plus_target - subject,roc_auc,csp_lda,CSP + LDA,10.0,,all_source,65,0.0900950455840456,0.05983874070512822,0.11828340321699905,1.8072273843788162e-07,7.228909537515265e-07,0.7445221445221445,+,0.06917353846153848
H2,source_plus_target - subject,roc_auc,csp_lda,CSP + LDA,10.0,,primary,65,0.02092150712250713,-0.011447650759734087,0.05043763003323836,0.06777278971835649,0.13554557943671297,0.2606060606060606,+,0.0
H2,source_plus_target - subject,roc_auc,csp_lda,CSP + LDA,10.0,,three_channel,65,0.045047149572649575,0.026047116726020902,0.062483448124406475,1.5873666199377275e-06,3.174733239875455e-06,0.6848484848484848,+,0.024125642450142447
H2,source_plus_target - subject,roc_auc,logvar_lda,Log-variance + LDA,5.0,,all_source,65,0.09345277279202278,0.06599412247150999,0.11967851709995252,5.5166678269932437e-08,2.7583339134966216e-07,0.7752913752913753,+,0.034697230769230765
H2,source_plus_target - subject,roc_auc,logvar_lda,Log-variance + LDA,5.0,,primary,65,0.05875554202279202,0.030826797263770182,0.0850973013948243,5.606516327124315e-05,0.0003363909796274589,0.5748251748251748,+,0.0
H2,source_plus_target - subject,roc_auc,logvar_lda,Log-variance + LDA,5.0,,three_channel,65,0.06547000379867045,0.04449073979107309,0.08627581944444442,1.2228649085472657e-07,5.492239000559379e-07,0.7547785547785548,+,0.006714461775878429
H2,source_plus_target - subject,roc_auc,logvar_lda,Log-variance + LDA,10.0,,all_source,65,0.06245147008547009,0.03724563295346631,0.08639472255460587,5.492277174004638e-06,1.6476831522013913e-05,0.6484848484848484,+,0.031022153846153852
H2,source_plus_target - subject,roc_auc,logvar_lda,Log-variance + LDA,10.0,,primary,65,0.03142931623931624,0.004471166001899361,0.05791949475308642,0.005425600700552773,0.01627680210165832,0.3967365967365967,+,0.0
H2,source_plus_target - subject,roc_auc,logvar_lda,Log-variance + LDA,10.0,,three_channel,65,0.04975577967711301,0.02706064474121556,0.07036738476970558,1.8080830916616122e-06,3.174733239875455e-06,0.6811188811188811,+,0.018326463437796772
H2,source_plus_target - subject,roc_auc,riemann_lr,Riemannian TS + LR,5.0,,all_source,65,0.04529070702754036,0.017449412796771115,0.0749784532288699,0.0012313122280745705,0.002462624456149141,0.46107226107226107,+,0.01020553846153846
H2,source_plus_target - subject,roc_auc,riemann_lr,Riemannian TS + LR,5.0,,primary,65,0.0350851685660019,0.010452451009021856,0.060264378501899335,0.0038314311745446254,0.015325724698178502,0.4125874125874126,+,0.0
H2,source_plus_target - subject,roc_auc,riemann_lr,Riemannian TS + LR,5.0,,three_channel,65,0.089151012345679,0.06594360884377967,0.11111440763295344,1.4916433986892938e-08,8.949860392135763e-08,0.8079254079254079,+,0.0540658437796771
H2,source_plus_target - subject,roc_auc,riemann_lr,Riemannian TS + LR,10.0,,all_source,65,0.014160990028490014,-0.012941526721272589,0.040640608843779666,0.2972622935787437,0.2972622935787437,0.14871794871794872,+,0.005992615384615384
H2,source_plus_target - subject,roc_auc,riemann_lr,Riemannian TS + LR,10.0,,primary,65,0.00816837464387463,-0.016359942058404568,0.03109368069800568,0.47829932162892996,0.47829932162892996,0.10116550116550116,+,0.0
H2,source_plus_target - subject,roc_auc,riemann_lr,Riemannian TS + LR,10.0,,three_channel,65,0.056266768281101595,0.037975499786324786,0.07380548615859447,1.0984478001118758e-07,5.492239000559379e-07,0.7575757575757576,+,0.04809839363722697
H3,riemann_lr - csp_lda,normalized_log_aucc,riemann_lr - csp_lda,Riemannian TS + LR - CSP + LDA,,source_plus_target,all_source,65,-0.04318331797605955,-0.06334360368591592,-0.023824335561304987,7.188062211722392e-05,7.188062211722392e-05,-0.5664335664335665,-,-0.0636476563982785
H3,riemann_lr - csp_lda,normalized_log_aucc,riemann_lr - csp_lda,Riemannian TS + LR - CSP + LDA,,source_plus_target,primary,65,0.020464338422218956,-0.001643757866444885,0.04313813943636284,0.17509942788117294,0.17509942788117294,0.19347319347319347,+,0.0
H3,riemann_lr - csp_lda,normalized_log_aucc,riemann_lr - csp_lda,Riemannian TS + LR - CSP + LDA,,source_plus_target,three_channel,65,0.0065825127770010325,-0.00151418748778639,0.014730484392117072,0.2038617707116589,0.2038617707116589,0.18269230769230768,+,-0.013881825645217925
H3,riemann_lr - csp_lda,normalized_log_aucc,riemann_lr - csp_lda,Riemannian TS + LR - CSP + LDA,,subject,all_source,65,0.035895840335602974,0.0222851488422444,0.04948218871401446,7.927493113374345e-07,1.585498622674869e-06,0.7044289044289044,+,0.0
H3,riemann_lr - csp_lda,normalized_log_aucc,riemann_lr - csp_lda,Riemannian TS + LR - CSP + LDA,,subject,primary,65,0.035895840335602974,0.0222851488422444,0.04948218871401446,7.927493113374345e-07,1.585498622674869e-06,0.7044289044289044,+,0.0
H3,riemann_lr - csp_lda,normalized_log_aucc,riemann_lr - csp_lda,Riemannian TS + LR - CSP + LDA,,subject,three_channel,65,-0.00463795990385873,-0.008925668722109217,-0.00027437500413910224,0.025636081409939837,0.051272162819879674,-0.3184149184149184,-,-0.0405338002394617
